CarModel        AgeOfCar        Price        OdoMeterReading                DealingType        GearSystem        NoOfOwners
Tata New Safari DICOR 2.2 GX 4x2 BS IV        11        337500        84000        Diesel        Direct Owner        Manual        Second Owner
Maruti Alto 800 CNG LXI Optional        4        375000        124000        CNG        Direct Owner        Manual        First Owner
Maruti Eeco 5 Seater AC BSIV        6        325000        34000        Petrol        Broker        Manual        First Owner
Maruti Ciaz 1.4 Alpha        5        1156250        26000        Petrol        Direct Owner        Manual        First Owner
Ford Figo 1.5D Titanium MT        6        750000        39122        Diesel        Broker        Manual        First Owner
Maruti Swift Dzire VDI        5        625000        54000        Diesel        Direct Owner        Manual        First Owner
Honda Jazz 1.5 VX i DTEC        7        656250        39000        Diesel        Broker        Manual        First Owner
Chevrolet Beat Diesel LT        10        216250        74000        Diesel        Direct Owner        Manual        First Owner
Hyundai EON D Lite        7        262500        34000        Petrol        Direct Owner        Manual        First Owner
Maruti Ertiga SHVS VDI        6        1112500        64000        Diesel        Direct Owner        Manual        Second Owner
Maruti SX4 ZDI Leather        11        500000        64000        Diesel        Direct Owner        Manual        Second Owner
Hyundai EON Magna Plus Option        5        400000        29000        Petrol        Direct Owner        Manual        First Owner
Renault Fluence 1.5        10        562500        64000        Diesel        Direct Owner        Manual        First Owner
Ford Figo Diesel Titanium        12        237500        94000        Diesel        Direct Owner        Manual        Third Owner
Ford Endeavour Titanium 4X2        12        750000        153674        Diesel        Broker        Manual        Second Owner
Hyundai i10 Magna 1.1        15        150000        94000        Petrol        Direct Owner        Manual        First Owner
Maruti Wagon R VXI BS IV        9        262500        74000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Getz GLS ABS        18        88750        26000        Petrol        Direct Owner        Manual        First Owner
Maruti Alto LXi        15        137500        94000        Petrol        Direct Owner        Manual        Second Owner
Honda Civic 1.8 S MT        16        287498.75        74000        Petrol        Direct Owner        Manual        Second Owner
Maruti Ertiga ZDI        9        831250        63110        Diesel        Broker        Manual        First Owner
Maruti Alto 800 LXI        9        225000        60207        Petrol        Broker        Manual        Second Owner
Maruti Alto K10 2010-2014 VXI        12        250000        44000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift VDI BSIV        8        600000        144000        Diesel        Direct Owner        Manual        Third Owner
Ford Fiesta Titanium 1.5 TDCi        12        406250        104000        Diesel        Direct Owner        Manual        Second Owner
Maruti Swift Ldi BSIII        14        375000        221871        Diesel        Broker        Manual        First Owner
Hyundai EON 1.0 Era Plus        6        350000        32838        Petrol        Direct Owner        Manual        First Owner
Maruti Zen LXi - BS III        18        156250        38000        Petrol        Broker        Manual        First Owner
Maruti Omni CNG        16        56250        104000        CNG        Direct Owner        Manual        Fourth & Above Owner
Maruti Zen Estilo 1.1 VXI BSIII        15        150000        74000        Petrol        Direct Owner        Manual        Second Owner
Tata Indica DLS        17        106250        304000        Diesel        Direct Owner        Manual        Second Owner
Honda Amaze S i-Dtech        9        526250        73000        Diesel        Broker        Manual        First Owner
Skoda Laura Ambiente 2.0 TDI CR MT        11        481250        56000        Diesel        Broker        Manual        First Owner
Maruti Eeco 7 Seater Standard BSIV        5        337500        24000        Petrol        Direct Owner        Manual        First Owner
Maruti Baleno Zeta 1.3        7        750000        76000        Diesel        Direct Owner        Manual        First Owner
Mercedes-Benz C-Class Progressive C 220d        5        4750000        14000        Diesel        Broker        Automatic        First Owner
Maruti Swift VDI BSIV        6        637498.75        29000        Diesel        Direct Owner        Manual        First Owner
Maruti Zen Estilo LX BSIV        13        112500        54000        Petrol        Direct Owner        Manual        Third Owner
Chevrolet Beat Diesel LT        7        437500        39000        Diesel        Direct Owner        Manual        Second Owner
Tata Tigor 1.2 Revotron XT        5        574998.75        44000        Petrol        Direct Owner        Manual        First Owner
Maruti Wagon R LXI BS IV        10        400000        84000        Petrol        Direct Owner        Manual        Second Owner
Fiat Linea Classic 1.3 Multijet        8        437500        134000        Diesel        Direct Owner        Manual        First Owner
Hyundai EON Era Plus        5        437500        24000        Petrol        Direct Owner        Manual        First Owner
Mahindra TUV 300 mHAWK100 T8        6        1000000        29000        Diesel        Direct Owner        Manual        First Owner
Renault Lodgy 85PS RxL        6        875000        64000        Diesel        Direct Owner        Manual        First Owner
Honda Amaze E i-Dtech        8        375000        108000        Diesel        Direct Owner        Manual        Second Owner
Hyundai i20 Active 1.4 SX        5        1024998.75        44000        Diesel        Direct Owner        Manual        First Owner
Volkswagen Vento Diesel Highline        11        525000        94000        Diesel        Direct Owner        Manual        Second Owner
Maruti Wagon R LXI        17        112500        66009        Petrol        Direct Owner        Manual        Second Owner
Renault Koleos 2.0 Diesel        11        937500        84000        Diesel        Direct Owner        Automatic        Second Owner
Mahindra Scorpio S7 140 BSIV        5        1375000        24000        Diesel        Direct Owner        Manual        First Owner
Volkswagen Vento IPL II Diesel Trendline        12        350000        114000        Diesel        Direct Owner        Manual        First Owner
Maruti Swift ZDi BSIV        6        562500        74000        Diesel        Direct Owner        Manual        First Owner
Hyundai EON Era Plus        8        312500        29000        Petrol        Direct Owner        Manual        First Owner
Renault KWID Climber 1.0 AMT        6        375000        24000        Petrol        Direct Owner        Automatic        First Owner
Hyundai Santro Xing XG eRLX Euro III        17        112500        124000        Petrol        Direct Owner        Manual        Second Owner
Mahindra XUV500 W6 2WD        8        1031250        94000        Diesel        Direct Owner        Manual        Third Owner
Tata New Safari DICOR 2.2 GX 4x2 BS IV        11        400000        84000        Diesel        Direct Owner        Manual        First Owner
Tata Zest Quadrajet 1.3 75PS XE        8        437500        104000        Diesel        Direct Owner        Manual        Second Owner
Ford Fiesta Classic 1.4 Duratorq CLXI        11        562500        94165        Diesel        Broker        Manual        First Owner
Renault Duster 110PS Diesel RxL        8        581250        45123        Diesel        Broker        Manual        First Owner
Maruti Alto LX        17        187500        144300        Petrol        Direct Owner        Manual        First Owner
Honda City 1.5 GXI        18        81250        154000        Petrol        Direct Owner        Manual        Third Owner
Mahindra Bolero SLX        12        437500        94000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Santro GLS I - Euro I        18        93750        64000        Petrol        Direct Owner        Manual        First Owner
Hyundai EON Era Plus        11        268750        74000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Elite i20 Asta Option CVT BSIV        6        793750        29000        Petrol        Broker        Automatic        First Owner
Mahindra Jeep CL 500 MDI        27        312500        39000        Diesel        Direct Owner        Manual        Second Owner
Volkswagen Vento Diesel Highline        10        562500        124000        Diesel        Direct Owner        Manual        Second Owner
Toyota Corolla Altis 1.8 VL CVT        5        2062500        29000        Petrol        Broker        Automatic        First Owner
Mahindra XUV500 AT W8 FWD        8        925000        49000        Diesel        Broker        Automatic        First Owner
Chevrolet Aveo U-VA 1.2 LS        14        262500        84000        Petrol        Direct Owner        Manual        Second Owner
Hyundai i20 Magna Optional 1.2        10        425000        39000        Petrol        Direct Owner        Manual        First Owner
Chevrolet Beat Diesel LS        11        225000        59130        Diesel        Broker        Manual        First Owner
Tata Harrier XE        3        532500        5000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto 800 LX        7        187500        29000        Petrol        Direct Owner        Manual        Second Owner
Maruti Alto STD        14        90000        74000        Petrol        Direct Owner        Manual        First Owner
Volkswagen Polo 1.5 TDI Highline        9        562500        84000        Diesel        Direct Owner        Manual        Second Owner
Maruti Vitara Brezza ZDi Plus Dual Tone        5        1225000        14000        Diesel        Direct Owner        Manual        First Owner
Toyota Yaris G        5        1062500        23107        Petrol        Trustmark Broker        Manual        First Owner
Honda Amaze VX O iDTEC        6        687500        16997        Diesel        Broker        Manual        First Owner
Toyota Innova 2.5 G (Diesel) 8 Seater        8        1063750        57652        Diesel        Broker        Manual        First Owner
Fiat Grande Punto EVO 1.3 Dynamic        9        406250        74000        Diesel        Direct Owner        Manual        First Owner
Mahindra Xylo E9        11        375000        299000        Diesel        Direct Owner        Manual        First Owner
Maruti 800 DX        20        75000        39000        Petrol        Direct Owner        Manual        First Owner
Renault KWID RXT        5        450000        30500        Petrol        Direct Owner        Manual        First Owner
Hyundai Verna 1.6 SX CRDi (O)        10        775000        74000        Diesel        Direct Owner        Manual        Second Owner
Hyundai EON 1.0 Era Plus        4        500000        9000        Petrol        Direct Owner        Manual        First Owner
Volkswagen Jetta 1.9 TDI Trendline        14        1175000        144000        Diesel        Direct Owner        Manual        First Owner
Honda BR-V i-VTEC VX MT        6        1050000        34646        Petrol        Broker        Manual        First Owner
Volkswagen Polo Diesel Trendline 1.2L        12        218750        94000        Diesel        Direct Owner        Manual        Third Owner
Maruti Swift ZXI Plus        5        750000        34000        Petrol        Direct Owner        Manual        First Owner
Hyundai EON Era Plus        11        250000        50000        Petrol        Direct Owner        Manual        First Owner
Maruti A-Star Vxi        14        137500        114000        Petrol        Direct Owner        Manual        Fourth & Above Owner
Maruti Esteem Lxi - BSIII        16        93750        58000        Petrol        Direct Owner        Manual        First Owner
Chevrolet Spark 1.0 LS        13        218750        49000        Petrol        Direct Owner        Manual        Second Owner
Mahindra KUV 100 mFALCON G80 K2        7        531250        29000        Petrol        Direct Owner        Manual        First Owner
Maruti Wagon R LXI Minor        15        250000        94000        Petrol        Direct Owner        Manual        Second Owner
Renault KWID 1.0 RXT Optional        6        487500        34000        Petrol        Direct Owner        Manual        First Owner
Maruti Wagon R LXI Minor        16        168750        54000        Petrol        Direct Owner        Manual        First Owner
Renault KWID RXT Optional        7        350000        27000        Petrol        Direct Owner        Manual        First Owner
Volkswagen Polo Diesel Highline 1.2L        10        543748.75        104000        Diesel        Direct Owner        Manual        Second Owner
Renault Duster 85PS Diesel RxL        8        812500        104000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto K10 2010-2014 VXI        11        325000        44000        Petrol        Direct Owner        Manual        First Owner
Hyundai Creta 1.6 VTVT S        6        1125000        18700        Petrol        Direct Owner        Manual        First Owner
Mahindra Renault Logan 1.6 Petrol GLSX        14        250000        34000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Xcent 1.1 CRDi Base        8        525000        64000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto 800 LXI        5        381250        39000        Petrol        Broker        Manual        First Owner
Audi A6 2.0 TDI Premium Plus        10        1625000        62500        Diesel        Broker        Automatic        First Owner
Toyota Camry Hybrid        17        387500        66000        Electric        Broker        Automatic        Second Owner
Maruti Wagon R LXI DUO BSIII        15        156250        156000        LPG        Direct Owner        Manual        Second Owner
Honda BR-V i-DTEC VX MT        7        1137500        47377        Diesel        Broker        Manual        First Owner
Maruti Alto K10 LXI        12        275000        74000        Petrol        Direct Owner        Manual        Second Owner
Honda BR-V i-VTEC VX MT        6        1335000        40000        Petrol        Broker        Manual        First Owner
Toyota Innova Crysta 2.8 ZX AT BSIV        6        2125000        79000        Diesel        Direct Owner        Automatic        First Owner
Hyundai Grand i10 1.2 Kappa Sportz AT        5        687500        39000        Petrol        Direct Owner        Automatic        First Owner
Maruti Alto 800 LXI        6        200000        54000        Petrol        Direct Owner        Manual        First Owner
Hyundai Getz GLE        16        137500        64000        Petrol        Direct Owner        Manual        Fourth & Above Owner
Maruti Wagon R LXI CNG        10        312500        75000        CNG        Direct Owner        Manual        Second Owner
Hyundai i10 Magna        11        287498.75        53824        Petrol        Broker        Manual        First Owner
Maruti Swift VDI BSIV        8        400000        78820        Diesel        Direct Owner        Manual        First Owner
Hyundai Getz GLS        16        118750        124000        Petrol        Direct Owner        Manual        Fourth & Above Owner
Maruti Swift ZXI BSIV        7        837500        11104        Petrol        Trustmark Broker        Manual        First Owner
Hyundai i20 Sportz 1.2        9        562500        84000        Petrol        Direct Owner        Manual        First Owner
Honda City i DTEC VX        9        750000        54000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto LXi        14        97500        124000        Petrol        Direct Owner        Manual        Second Owner
Maruti Swift Vdi BSIII        16        125000        114000        Diesel        Direct Owner        Manual        Fourth & Above Owner
Mahindra Xylo D4        8        625000        54000        Diesel        Direct Owner        Manual        Second Owner
Tata Indigo LX        11        162500        94000        Diesel        Direct Owner        Manual        Second Owner
Maruti Alto LX        16        87500        184000        Petrol        Direct Owner        Manual        Third Owner
Mahindra Quanto C6        10        436250        104000        Diesel        Direct Owner        Manual        First Owner
Maruti SX4 Vxi BSIV        11        281250        114000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Santro Xing XL eRLX Euro III        18        143748.75        94000        Petrol        Broker        Manual        Second Owner
Maruti Baleno Delta Automatic        5        687500        29000        Petrol        Direct Owner        Automatic        First Owner
Maruti Swift Dzire VDI        10        531250        65083        Diesel        Broker        Manual        First Owner
Hyundai Venue SX Opt Turbo BSIV        3        1312500        5100        Petrol        Direct Owner        Manual        First Owner
Maruti Ertiga VXI        8        781250        15918        Petrol        Trustmark Broker        Manual        First Owner
Maruti Alto 800 LXI        8        387500        34000        Petrol        Direct Owner        Manual        Second Owner
Maruti Swift Dzire LDI        10        312500        84000        Diesel        Direct Owner        Manual        Fourth & Above Owner
Renault Duster 110PS Diesel RxZ        10        400000        94000        Diesel        Direct Owner        Manual        Second Owner
Mahindra XUV500 W8 2WD        8        1250000        124000        Diesel        Direct Owner        Manual        Second Owner
Honda Jazz 1.5 VX i DTEC        8        562500        42000        Diesel        Direct Owner        Manual        First Owner
Mahindra Scorpio 1.99 S4        7        637498.75        64000        Diesel        Direct Owner        Manual        First Owner
Skoda Rapid 1.6 TDI Elegance        11        343750        124000        Diesel        Direct Owner        Manual        Second Owner
Tata Nexon 1.2 Revotron XZ Plus Dual Tone        6        937500        19000        Petrol        Direct Owner        Manual        First Owner
Hyundai Venue SX Opt Diesel        3        1250000        9000        Diesel        Direct Owner        Manual        First Owner
Toyota Corolla Altis Diesel D4DG        13        312500        124000        Diesel        Direct Owner        Manual        First Owner
Maruti Swift Star VDI        10        312500        59000        Diesel        Direct Owner        Manual        First Owner
Volkswagen Ameo 1.5 TDI Highline Plus 16        5        825000        29000        Diesel        Direct Owner        Manual        First Owner
Hyundai Verna CRDi 1.6 AT EX        5        1375000        29000        Diesel        Direct Owner        Automatic        Second Owner
Renault Duster 110PS Diesel RxZ        11        543748.75        114000        Diesel        Direct Owner        Manual        Second Owner
Renault Duster 85PS Diesel RxL        10        562500        5000        Diesel        Broker        Manual        Second Owner
Toyota Corolla Altis 1.8 J        15        500000        39000        Petrol        Direct Owner        Manual        Second Owner
Honda City i DTEC VX        8        981250        44000        Diesel        Direct Owner        Manual        First Owner
Tata Nexon 1.5 Revotorq XZ        6        1156250        30766        Diesel        Broker        Manual        First Owner
Hyundai i20 Active 1.2 SX        7        812500        30000        Petrol        Direct Owner        Manual        First Owner
Maruti Alto K10 2010-2014 VXI        11        250000        94000        Petrol        Direct Owner        Manual        Second Owner
Mahindra Bolero DI DX 7 Seater        22        100000        104000        Diesel        Direct Owner        Manual        Third Owner
Datsun GO Plus T Option        6        437500        84000        Petrol        Direct Owner        Manual        First Owner
Hyundai Accent Executive        13        150000        71000        Petrol        Direct Owner        Manual        Third Owner
Ford Fiesta 1.6 ZXi Duratec        16        237500        64000        Petrol        Direct Owner        Manual        Third Owner
Toyota Corolla Altis GL MT        7        1437500        68156        Petrol        Trustmark Broker        Manual        First Owner
Hyundai Santro LP zipPlus        22        65000        54000        Petrol        Direct Owner        Manual        Third Owner
Hyundai Verna 1.6 SX CRDi (O)        12        487500        94000        Diesel        Direct Owner        Manual        First Owner
Maruti Zen Estilo LXI BS IV        12        287498.75        74000        Petrol        Direct Owner        Manual        First Owner
Ford Figo 1.5D Titanium MT        7        643750        29000        Diesel        Direct Owner        Manual        First Owner
Maruti Swift VXI Optional        8        500000        44000        Petrol        Direct Owner        Manual        First Owner
Nissan Micra Active XV        6        543748.75        20267        Petrol        Broker        Manual        First Owner
Hyundai Santro Xing GL Plus        10        362500        53000        Petrol        Direct Owner        Manual        First Owner
Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV        15        737500        93600        Diesel        Direct Owner        Manual        Third Owner
Maruti Alto LX        12        168750        54000        Petrol        Direct Owner        Manual        First Owner
Mahindra Xylo E4 8S        13        406250        124000        Diesel        Direct Owner        Manual        Third Owner
Maruti SX4 Celebration Petrol        11        275000        94000        Petrol        Direct Owner        Manual        Second Owner
Mahindra Verito 1.5 D4 BSIV        8        375000        94000        Diesel        Direct Owner        Manual        First Owner
Tata Indigo CR4        10        275000        104000        Diesel        Direct Owner        Manual        First Owner
Hyundai i10 Sportz        12        312500        54000        Petrol        Direct Owner        Manual        First Owner
Hyundai Verna 1.6 VTVT        11        375000        44000        Petrol        Direct Owner        Manual        First Owner
Hyundai Grand i10 Nios Magna CRDi        3        875000        5400        Diesel        Direct Owner        Manual        First Owner
Hyundai EON Magna Plus        7        287498.75        84000        Petrol        Direct Owner        Manual        First Owner
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy        6        887500        114000        Diesel        Direct Owner        Automatic        First Owner
Maruti Wagon R VX        23        62500        92500        Petrol        Direct Owner        Manual        Fourth & Above Owner
Ford Fiesta Titanium 1.5 TDCi        10        562500        79000        Diesel        Direct Owner        Manual        Second Owner
Ford Figo Diesel EXI        11        350000        84000        Diesel        Direct Owner        Manual        Second Owner
Toyota Innova 2.5 VX (Diesel) 8 Seater        10        1156250        79000        Diesel        Direct Owner        Manual        First Owner
BMW 5 Series 520d Luxury Line        6        3625000        44000        Diesel        Direct Owner        Automatic        First Owner
Hyundai i20 1.4 CRDi Magna        11        312500        74000        Diesel        Direct Owner        Manual        First Owner
Maruti Omni MPI STD BSIV        8        162500        74000        Petrol        Direct Owner        Manual        First Owner
Toyota Innova 2.5 G (Diesel) 8 Seater        10        1262500        124000        Diesel        Direct Owner        Manual        First Owner
Tata Indica Vista Aqua 1.4 TDI        12        112500        58000        Diesel        Direct Owner        Manual        First Owner
Toyota Fortuner 2.8 2WD AT BSIV        6        4000000        61000        Diesel        Direct Owner        Automatic        First Owner
Chevrolet Aveo 1.4 LS        15        212500        85324        Petrol        Broker        Manual        First Owner
Hyundai Xcent 1.1 CRDi SX        7        537500        39000        Diesel        Direct Owner        Manual        First Owner
Renault KWID RXT        7        337500        64000        Petrol        Direct Owner        Manual        Second Owner
Nissan Micra Active XV S        10        205000        34000        Petrol        Direct Owner        Manual        First Owner
Maruti Ciaz ZXi Plus        8        843750        70000        Petrol        Direct Owner        Manual        First Owner
Maruti Wagon R VXI        11        362500        84000        Petrol        Broker        Manual        First Owner
Ford EcoSport 1.5 TDCi Titanium BSIV        7        812500        85595        Diesel        Broker        Manual        First Owner
Chevrolet Beat Diesel LT        11        250000        54000        Diesel        Direct Owner        Manual        First Owner
Tata Manza Aura Quadrajet        14        231250        64000        Diesel        Direct Owner        Manual        Third Owner
Hyundai EON Era Plus Sports Edition        9        350000        59000        Petrol        Direct Owner        Manual        First Owner
Hyundai Santro Xing XL eRLX Euro III        16        93750        118000        Petrol        Direct Owner        Manual        Second Owner
Mahindra TUV 300 T8 AMT        7        912500        64000        Diesel        Direct Owner        Automatic        Second Owner
Hyundai EON Magna Optional        8        375000        26000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift Dzire VDI        5        937500        24000        Diesel        Direct Owner        Manual        First Owner
Mahindra Xylo Celebration Edition BSIV        13        250000        244000        Diesel        Direct Owner        Manual        Third Owner
BMW X5 xDrive 30d xLine        4        6187500        34000        Diesel        Broker        Automatic        First Owner
Maruti Wagon R LXI LPG BSIV        11        275000        84000        LPG        Direct Owner        Manual        Second Owner
Maruti SX4 ZDI        12        275000        94000        Diesel        Direct Owner        Manual        Third Owner
Mahindra Xylo D2 BSIV        10        562500        124000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto LXi        14        137500        24000        Petrol        Direct Owner        Manual        First Owner
Maruti Baleno Alpha 1.2        6        773750        44000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift Dzire VDi        14        187500        124000        Diesel        Direct Owner        Manual        Second Owner
Tata Indica LXI        19        100000        50000        Petrol        Direct Owner        Manual        Second Owner
Renault KWID RXL        7        275000        64000        Petrol        Direct Owner        Manual        Third Owner
Renault KWID RXT        7        375000        44000        Petrol        Direct Owner        Manual        First Owner
